ABOUT_US|A propos de nous
ACCOUNT_INFORMATION|Information du profile
ACTIONS|Actions
ACTIVATE|Activer
ACTIVE|Actif
ADDRESS_LINE_1|Adresse
ADDRESS_LINE_2|Complément d'adresse
ADDRESS|Adresse
ADD_ARTICLE|Ecrire un article
ADMINISTRATION_DATA|Information administration
ADMINISTRATION|Administration
ALERT|Alerte en page d'accueil
ALL_ERRORS|Erreurs
ALL|Tous
AMOUNT_HELP|Veuillez saisir le montant que vous souhaitez donner. Minimum 1 €.
AMOUNT|Montant
ANALYTICS|Code Google Analytics
AN_EMAIL_HAS_BEEN_SENT_TO_{0}|Un mail a été envoyé à {0}
AQUESTION|Une Question ?
ARE_YOU_SURE|Etes-vous sûr ?
ARTICLES_LIST|Liste des articles
ARTICLE_ARTICLE|Article
ARTICLE_DATEALERT|Date de fin d'alerte
ARTICLE_DATE|Date de l'article
ARTICLE_DELETED|Article supprimé
ARTICLE_GROUPEDTRAD|Traduction groupée
ARTICLE_ID|Id de l'article
ARTICLE_IMAGE|Image principale de l'article
ARTICLE_MANAGEMENT|Gestion des Articles
ARTICLE_MENU|Entrée de menu
ARTICLE_NEWS|Nouvelle
ARTICLE_NOT_FOUND_WITH_ID_{0}|Aucun article n'a l'id {0}.
ARTICLE_PARENT_MENU|Menu parent
ARTICLE_PARENT_NEWS|Article parent
ARTICLE_PLEASE_LINK_IMAGE_480x300|Veuillez selectionner une image de 480x300 pixels
ARTICLE_SAVED|Article enregistré
ARTICLE_TYPE|Type d'article
ARTICLE_WRITE|Ecrire un article
A_QUESTION|Une question ?
BACK|Retour
BAD_LANGUAGE|Langue inconnue
BAD_TITLE|Le titre ne peut pas être vide
CANCEL|Annuler
CANT SAVE USER|Impossible de sauvegarder l'utilisateur
CANT_CREATE_USER|Impossible de créer l'utilisateur
CANT_DELETE_ARTICLE_WITH_SONS|Impossible de supprimer un article qui a des sous-articles rattachés
CANT_DELETE_YOURSELF|Impossible de vous supprimer vous-même
CANT_FIND_DONATION_TYPE|Type de don impossible
CANT_FIND_DONATION|Impossible de trouver ce don.
CANT_FIND_USER|Impossible de trouver cet utilisateur
CANT_LOAD_USER|Impossible de charger cet utilisateur
CANT_REMOVE_ADMIN_RIGHTS_TO_YOURSELF|Impossible de retirer les droits administrateur de vous-même
CANT_SAVE_ARTICLE|Impossible d'enregistrer l'article
CANT_SAVE_CONFIG|Impossible d'enregistrer la configuration. Vérifiez la connexion à la base de données
CANT_SAVE_DONATION|Impossible de sauvegarder le don
CANT_SAVE|Impossible d'enregistrer
CANT_SEND_EMAIL|Impossible d'envoyer le mail
CITY|Ville
COLUMN_DEFINED_TWICE_{0}|La colonne '{0}' est définie deux fois.
CONFIG_SAVED|Configuration enregistrée
COUNTRY|Pays
CREATE_A_DONATION|Créer un don manuellement
CUSTOM|Personnalisé
DANGER|Attention
DATE|Date
DELETE_CONFIG|Supprimer la configuration
DISPLAY_ALL|Afficher tout
DISPLAY_AS_LIST|Afficher en liste
DONATIONS_LIST|Liste des dons
DONATION_CANCELLED|Annulée
DONATION_CANT_BE_LESS_THAN_1_EURO|Montant minimum de 1 euro
DONATION_CONFIRM|Confirmer votre don
DONATION_DOES_NOT_EXIST|Ce don n'existe pas.
DONATION_MANAGEMENT|Gestion des Dons
DONATION_RECEIVED|Reçue
DONATION_RESUME|Résumé
DONATION_TYPE_IS_UNKNOWN|Type de don inconnu
DONATION|Votre don
DONATOR|Information du donnateur
EDIT|Modifier
EMAILSTATUS_NotValidYet|Non validé
EMAILSTATUS_OptOut|Opt-Out
EMAILSTATUS_Valid|Validé
EMAIL_CONTACT|Email de contact
EMAIL_IS_NOT_WELL_FORMED|L'email n'est pas valide
EMAIL_STATUS|Statut
EMAIL_UNKOWN_CREATE_AN_ACCOUNT|Email inconnu - Créez un compte
EMAIL|Email
ENTER_EMAIL_USED_TO_REGISTER|Entrez l'adresse e-mail utilisée pour s'enregistrer
ERROR|Erreur
EXPORT_EXCEL|Exporter vers un fichier Excel
EXTERNAL_CHECK_ID|N° de vérification externe
FILE|Fichier (pdf, jpg ou png)
FINALIZE_YOUR_DONATION|Comment finaliser votre don ?
FIRSTNAME|Prénom
GET_CONNECTED_BASE_LINE|Vous avez aimé cet article ? Alors partagez-le avec vos amis en cliquant sur les boutons ci-dessous :
GET_CONNECTED|Restez connecté
GLOBAL_SETUP_DATABASE|Configuration Base de données
GLOBAL_SETUP|Configuration générale
GROUPED_KEY_GENERAL|Titres et boutons
GROUPED_KEY_HOME|Page d'accueil
HEIGHT|Hauteur
HELP_EXTERNAL_CHECK_ID|n° de cheque ou n° de validation paypal
HELP|Aide
HIDE_ARCHIVED|Masquer les archives
HOMEPAGE_SETUP|Paramétrage de la page d'accueil
HOME|Page d'accueil
ID|Id
INDEX|N°
INTERNAL_ERROR|Erreur interne
IT_WAS_IMPOSSIBLE_TO_SEND_YOU_A_CONFIRMATION_EMAIL|Impossible d'envoyer un mail
I_HAVE_AN_ACCOUNT|J'ai déjà un compte
LANGUAGES_ACTIVE|Langues actives
LANGUAGES_HELP|Langues (code iso-2) séparées par les ';'
LANGUAGES|Langues
LANG_ES|Español
LANG_FR|Français
LANG_GB|English
LANG_CH|Switzerland
LANG_CN|China
LANG_DE|Deutchland
LANG_EN|English
LANG_IT|Italian
LANG_JP|Japanese
LANG_LB|Libanais
LANG_US|American
LASTNAME|Nom
LATEST NEWS|Dernière nouvelles
LIST_ARTICLES|Liste des articles
LOGIN|Se connecter
LOGOUT|Se déconnecter
LOST_PASSWORD|J'ai oublié mon mot de passe
MAINTENANCEPAGE_LINK|Test la page de maintenance
MAINTENANCEPAGE_REDIRECTION_HELP|To be used if maintenance is a redirection or leave blank and fill the corresponding acticle
MAIN_TITLE|Titre Principale
MAKE_A_DONATION|Faire un don
MEDIA_MANAGEMENT|Gestion des Médias
MODIFY_ARTICLES|Modifier article
MODIFY|Modifier
MONTH_SHORT_APR|AVR
MONTH_SHORT_AUG|AOU
MONTH_SHORT_DEC|DEC
MONTH_SHORT_FEB|FEV
MONTH_SHORT_JAN|JAN
MONTH_SHORT_JUL|JUL
MONTH_SHORT_JUN|JUI
MONTH_SHORT_MAR|MAR
MONTH_SHORT_MAY|MAY
MONTH_SHORT_NOV|NOV
MONTH_SHORT_OCT|OCT
MONTH_SHORT_SEP|SEP
MY_PROFIL|Mon profil
NAME|Nom
NEED_AT_LEAST_EMAIL_FIELD|Il faut au moins un champ email
NEED_LOGIN|Indentification nécessaire
NEWSLETTER|News-letter
NEW|Nouveau
NEXT|Suivant
NOT_ALLOWED|Vous n'êtes pas autorisé à réaliser cette action.
NOT_AUTHORIZED_TITLE_{0}|Champ non autorisé ({0}). Veuillez vérifier dans l'aide la liste des champs autorisés.
NO_ARTICLE_CONTENT|Vous n'avez peut-être pas encore défini votre page d'accueil.
NO_ARTICLE|Aucun article à afficher
NO_MENUFATHER|Il manque le menu parent.
NO_NEWSFATHER|Il manque l'article parent.
NO_PASSWORD1|Le mot de passe est vide
NO_PASSWORD2|Le mot de passe 2 est vide
NO_PICTURE|Pas d'image
NO_TYPE_PROVIDED|Il manque le type
Nothing_to_upload|Rien à charger.
OTHER_USER|Changer d'utilisateur
PASSWORD1|Mot de passe
